i,time,open,high,low,close,volume,date
26,1561366800000.0,10934.98,10975.0,10861.11,10922.98,1744.693827,2019-06-24 09:00:00
27,1561370400000.0,10922.98,11023.39,10901.0,10902.47,1784.25725,2019-06-24 10:00:00
28,1561374000000.0,10904.0,10940.0,10810.0,10938.17,1996.852562,2019-06-24 11:00:00
29,1561377600000.0,10937.34,10976.87,10869.57,10901.66,1337.92427,2019-06-24 12:00:00
30,1561381200000.0,10900.01,10930.0,10800.0,10880.7,1727.577089,2019-06-24 13:00:00
31,1561384800000.0,10880.0,11000.0,10855.22,10963.48,2290.096518,2019-06-24 14:00:00
32,1561388400000.0,10963.48,10988.0,10875.53,10936.87,1493.114997,2019-06-24 15:00:00
33,1561392000000.0,10933.85,11143.63,10932.89,11054.85,4097.184494,2019-06-24 16:00:00
34,1561395600000.0,11053.49,11111.82,11020.7,11073.85,1391.405149,2019-06-24 17:00:00
35,1561399200000.0,11073.8,11125.0,11001.03,11019.94,1720.244115,2019-06-24 18:00:00
36,1561402800000.0,11019.94,11059.21,10861.34,10944.73,2853.348334,2019-06-24 19:00:00
37,1561406400000.0,10945.0,11005.03,10865.07,10910.72,1528.501782,2019-06-24 20:00:00
38,1561410000000.0,10907.89,10997.0,10905.85,10980.94,1042.969899,2019-06-24 21:00:00
39,1561413600000.0,10980.87,11100.0,10977.58,11035.0,1832.483168,2019-06-24 22:00:00
40,1561417200000.0,11036.93,11071.63,10982.0,11056.59,1004.942908,2019-06-24 23:00:00
41,1561420800000.0,11056.59,11130.0,11026.0,11072.07,1556.775634,2019-06-25 00:00:00
42,1561424400000.0,11075.02,11151.77,11070.65,11138.38,1201.079247,2019-06-25 01:00:00
43,1561428000000.0,11138.38,11262.99,11100.0,11161.26,2667.614958,2019-06-25 02:00:00
44,1561431600000.0,11163.25,11215.71,11111.01,11172.19,1997.999984,2019-06-25 03:00:00
45,1561435200000.0,11171.71,11272.97,11157.91,11272.15,1937.323457,2019-06-25 04:00:00
46,1561438800000.0,11269.3,11381.85,11260.01,11346.73,3324.313558,2019-06-25 05:00:00
47,1561442400000.0,11346.73,11435.0,11273.0,11312.48,3648.822414,2019-06-25 06:00:00
48,1561446000000.0,11312.46,11423.15,11308.16,11377.6,2462.618713,2019-06-25 07:00:00
49,1561449600000.0,11377.6,11402.01,11240.64,11315.76,1958.945758,2019-06-25 08:00:00
50,1561453200000.0,11315.76,11380.6,11288.0,11373.69,1444.732114,2019-06-25 09:00:00
51,1561456800000.0,11373.7,11495.0,11340.7,11447.48,2058.699131,2019-06-25 10:00:00
52,1561460400000.0,11446.91,11499.24,11341.96,11418.37,3113.776061,2019-06-25 11:00:00
53,1561464000000.0,11418.37,11436.0,11130.01,11236.19,4286.202984,2019-06-25 12:00:00
54,1561467600000.0,11237.44,11349.7,11210.25,11342.12,3023.198251,2019-06-25 13:00:00
55,1561471200000.0,11342.12,11385.35,11296.0,11328.34,1750.803048,2019-06-25 14:00:00
56,1561474800000.0,11328.33,11433.53,11285.83,11385.31,2013.365557,2019-06-25 15:00:00
57,1561478400000.0,11385.05,11503.71,11376.93,11386.73,3518.517704,2019-06-25 16:00:00
58,1561482000000.0,11385.1,11428.39,11266.0,11377.72,3299.769535,2019-06-25 17:00:00
59,1561485600000.0,11379.64,11450.0,11340.78,11441.42,1589.342798,2019-06-25 18:00:00
60,1561489200000.0,11438.57,11455.0,11384.97,11411.95,1073.006286,2019-06-25 19:00:00
61,1561492800000.0,11411.76,11460.0,11385.4,11405.8,1340.741017,2019-06-25 20:00:00
62,1561496400000.0,11405.8,11627.0,11405.41,11599.67,3459.159074,2019-06-25 21:00:00
63,1561500000000.0,11596.46,11750.0,11560.32,11718.17,4693.054095,2019-06-25 22:00:00
64,1561503600000.0,11715.24,11850.0,11675.0,11820.86,3856.82527,2019-06-25 23:00:00
65,1561507200000.0,11821.28,11995.46,11741.0,11950.78,5027.584331,2019-06-26 00:00:00
66,1561510800000.0,11949.34,11997.5,11850.78,11928.58,3903.349014,2019-06-26 01:00:00
67,1561514400000.0,11928.54,11990.0,11816.53,11955.6,2286.028345,2019-06-26 02:00:00
68,1561518000000.0,11956.55,12293.92,11956.48,12269.41,6210.96403,2019-06-26 03:00:00
69,1561521600000.0,12271.0,12509.84,12200.0,12483.25,6009.729735,2019-06-26 04:00:00
70,1561525200000.0,12486.14,13000.0,12272.38,12531.41,15624.542059,2019-06-26 05:00:00
71,1561528800000.0,12532.12,12840.91,12531.06,12806.39,5402.537308,2019-06-26 06:00:00
72,1561532400000.0,12806.37,12814.26,12518.0,12541.39,4700.340493,2019-06-26 07:00:00
73,1561536000000.0,12549.79,12743.85,12542.52,12699.94,3080.518256,2019-06-26 08:00:00
74,1561539600000.0,12699.16,12699.86,12373.0,12445.6,4525.76112,2019-06-26 09:00:00
75,1561543200000.0,12445.82,12770.03,12407.29,12762.66,2974.517559,2019-06-26 10:00:00
76,1561546800000.0,12764.23,12777.55,12652.74,12696.8,1895.265625,2019-06-26 11:00:00
77,1561550400000.0,12693.77,12894.99,12588.0,12864.98,3242.194615,2019-06-26 12:00:00
78,1561554000000.0,12855.43,12959.0,12763.99,12939.56,4059.494979,2019-06-26 13:00:00
79,1561557600000.0,12936.28,12982.35,12772.01,12815.91,3626.439554,2019-06-26 14:00:00
80,1561561200000.0,12813.79,12936.78,12747.1,12889.05,3183.868288,2019-06-26 15:00:00
81,1561564800000.0,12889.05,13750.0,12811.77,13714.99,9962.595884,2019-06-26 16:00:00
82,1561568400000.0,13711.22,13718.77,13231.0,13538.38,8660.105181,2019-06-26 17:00:00
83,1561572000000.0,13537.69,13961.45,13451.0,13905.39,7958.443846,2019-06-26 18:00:00
84,1561575600000.0,13905.4,13964.74,13650.0,13960.76,6213.63922,2019-06-26 19:00:00
85,1561579200000.0,13960.76,13970.0,11801.0,12872.77,16357.667512,2019-06-26 20:00:00
86,1561582800000.0,12882.2,12940.0,11900.0,12609.38,15246.292281,2019-06-26 21:00:00
87,1561586400000.0,12598.31,12800.0,12275.7,12616.72,7346.623219,2019-06-26 22:00:00
88,1561590000000.0,12619.53,13216.95,12616.71,13093.8,8431.644932,2019-06-26 23:00:00
89,1561593600000.0,13098.38,13478.04,12860.02,13173.69,7856.086845,2019-06-27 00:00:00
90,1561597200000.0,13173.69,13360.0,12500.0,12869.35,7912.296389,2019-06-27 01:00:00
91,1561600800000.0,12869.34,12981.71,12571.42,12909.06,4404.637234,2019-06-27 02:00:00
92,1561604400000.0,12913.5,13034.53,12730.0,12982.04,2726.105198,2019-06-27 03:00:00
93,1561608000000.0,12993.75,13154.69,12900.42,12955.99,3372.545961,2019-06-27 04:00:00
94,1561611600000.0,12950.63,12955.27,12664.21,12931.2,3344.142687,2019-06-27 05:00:00
95,1561615200000.0,12932.29,12932.29,12100.0,12468.0,6749.703491,2019-06-27 06:00:00
96,1561618800000.0,12467.99,12618.65,12377.35,12499.95,7169.872923,2019-06-27 07:00:00
97,1561622400000.0,12495.13,12516.73,11940.06,12028.99,10802.356974,2019-06-27 08:00:00
98,1561626000000.0,12029.34,12150.0,11450.0,11928.0,16075.472959,2019-06-27 09:00:00
99,1561629600000.0,11927.99,12184.49,11838.0,11893.24,7738.042135,2019-06-27 10:00:00
100,1561633200000.0,11893.86,12281.38,11893.86,12261.63,4171.242674,2019-06-27 11:00:00
101,1561636800000.0,12255.58,12360.0,11838.0,11894.43,6233.225109,2019-06-27 12:00:00
102,1561640400000.0,11894.43,12002.71,11705.0,11810.01,5858.488118,2019-06-27 13:00:00
103,1561644000000.0,11808.59,12087.99,11575.0,12085.87,7437.270229,2019-06-27 14:00:00
104,1561647600000.0,12085.87,12094.94,11700.5,11830.0,5395.666783,2019-06-27 15:00:00
105,1561651200000.0,11830.0,11948.63,11033.02,11083.43,13871.267394,2019-06-27 16:00:00
106,1561654800000.0,11081.84,11189.99,10680.04,11050.16,14017.824818,2019-06-27 17:00:00
107,1561658400000.0,11056.33,11244.99,10900.0,11165.54,5799.320598,2019-06-27 18:00:00
108,1561662000000.0,11165.19,11165.19,10765.65,11022.01,5831.844308,2019-06-27 19:00:00
109,1561665600000.0,11029.96,11079.0,10525.1,10850.27,8786.368451,2019-06-27 20:00:00
110,1561669200000.0,10850.26,10982.97,10627.12,10878.88,3839.024563,2019-06-27 21:00:00
111,1561672800000.0,10878.84,11329.99,10874.51,11277.93,6588.891431,2019-06-27 22:00:00
112,1561676400000.0,11283.31,11566.0,11114.27,11329.99,7913.123617,2019-06-27 23:00:00
113,1561680000000.0,11329.99,11660.84,11200.04,11659.69,5249.269862,2019-06-28 00:00:00
114,1561683600000.0,11659.65,11771.98,11428.73,11491.02,4775.822112,2019-06-28 01:00:00
115,1561687200000.0,11490.94,11619.99,11192.01,11207.19,3825.133896,2019-06-28 02:00:00
116,1561690800000.0,11202.92,11375.0,11080.0,11370.0,4108.69824,2019-06-28 03:00:00
117,1561694400000.0,11370.0,11413.06,11077.0,11242.24,2981.942199,2019-06-28 04:00:00
118,1561698000000.0,11244.96,11331.02,10982.88,11331.02,4539.483016,2019-06-28 05:00:00
119,1561701600000.0,11324.14,11580.0,11324.14,11452.58,5982.166069,2019-06-28 06:00:00
120,1561705200000.0,11452.58,11662.0,11373.81,11430.0,3875.090725,2019-06-28 07:00:00
121,1561708800000.0,11425.81,11889.0,11425.8,11800.0,4871.793521,2019-06-28 08:00:00
122,1561712400000.0,11799.99,12099.44,11798.86,12004.32,6755.995027,2019-06-28 09:00:00
123,1561716000000.0,12004.41,12150.0,11805.7,11985.0,5638.917185,2019-06-28 10:00:00
124,1561719600000.0,11985.0,12203.0,11864.46,12178.85,3922.854212,2019-06-28 11:00:00
125,1561723200000.0,12178.81,12190.14,11672.09,11764.53,5236.109423,2019-06-28 12:00:00
126,1561726800000.0,11764.53,11968.99,11639.0,11959.97,3715.885009,2019-06-28 13:00:00
127,1561730400000.0,11960.0,11968.3,11780.0,11833.55,2425.316345,2019-06-28 14:00:00
128,1561734000000.0,11833.55,12073.48,11832.15,11989.22,2844.736336,2019-06-28 15:00:00
129,1561737600000.0,11989.78,12047.32,11801.05,11975.35,2669.011213,2019-06-28 16:00:00
130,1561741200000.0,11975.35,11994.36,11821.11,11897.63,2435.815016,2019-06-28 17:00:00
131,1561744800000.0,11894.37,12021.0,11860.06,11993.84,2068.200235,2019-06-28 18:00:00
132,1561748400000.0,11993.69,12400.0,11985.0,12368.43,5615.834459,2019-06-28 19:00:00
133,1561752000000.0,12366.71,12451.64,12137.7,12271.49,4321.237135,2019-06-28 20:00:00
134,1561755600000.0,12267.44,12426.68,12267.44,12356.41,2287.015251,2019-06-28 21:00:00
135,1561759200000.0,12356.41,12401.43,12205.33,12375.82,2622.592658,2019-06-28 22:00:00
136,1561762800000.0,12373.32,12480.0,12307.51,12400.63,3026.28482,2019-06-28 23:00:00
137,1561766400000.0,12407.06,12441.54,12231.0,12277.0,2786.912207,2019-06-29 00:00:00
138,1561770000000.0,12277.31,12392.71,11869.0,11893.77,3744.02241,2019-06-29 01:00:00
139,1561773600000.0,11893.77,11900.0,11617.2,11832.19,6616.867144,2019-06-29 02:00:00
140,1561777200000.0,11830.84,11852.57,11500.0,11616.29,4611.040535,2019-06-29 03:00:00
141,1561780800000.0,11622.19,11738.0,11475.02,11723.22,4230.175097,2019-06-29 04:00:00
142,1561784400000.0,11723.24,11780.99,11552.2,11615.37,2436.771584,2019-06-29 05:00:00
143,1561788000000.0,11611.42,11868.0,11524.21,11842.35,2707.994241,2019-06-29 06:00:00
144,1561791600000.0,11844.67,11922.48,11747.38,11873.61,1731.4415,2019-06-29 07:00:00
145,1561795200000.0,11877.5,11880.28,11656.0,11696.63,1881.544471,2019-06-29 08:00:00
146,1561798800000.0,11697.56,11796.03,11640.01,11657.04,1838.117974,2019-06-29 09:00:00
147,1561802400000.0,11657.02,11901.0,11595.57,11887.42,2712.644235,2019-06-29 10:00:00
148,1561806000000.0,11890.94,12033.0,11774.64,12023.91,2981.427425,2019-06-29 11:00:00
149,1561809600000.0,12020.4,12170.99,11951.01,12100.0,3016.286746,2019-06-29 12:00:00
150,1561813200000.0,12099.99,12199.0,11940.0,12025.54,3266.607442,2019-06-29 13:00:00
151,1561816800000.0,12025.0,12064.53,11886.0,11978.39,2765.333242,2019-06-29 14:00:00
152,1561820400000.0,11978.39,12096.61,11893.93,11939.62,2852.257225,2019-06-29 15:00:00
153,1561824000000.0,11939.62,12025.0,11702.0,11860.46,4014.741961,2019-06-29 16:00:00
154,1561827600000.0,11860.46,12048.66,11795.78,12014.17,2809.029895,2019-06-29 17:00:00
155,1561831200000.0,12014.17,12100.57,11950.02,11998.84,2077.987741,2019-06-29 18:00:00
156,1561834800000.0,11997.64,12050.79,11880.0,11900.0,1860.412298,2019-06-29 19:00:00
157,1561838400000.0,11900.0,12244.0,11892.75,12150.2,2625.606445,2019-06-29 20:00:00
158,1561842000000.0,12152.74,12235.0,11905.0,11992.97,2422.977866,2019-06-29 21:00:00
159,1561845600000.0,11992.3,12126.25,11966.69,12072.02,1572.081756,2019-06-29 22:00:00
160,1561849200000.0,12070.35,12088.76,11826.92,11903.13,2079.792717,2019-06-29 23:00:00
161,1561852800000.0,11903.13,12155.0,11901.3,12135.03,2465.311563,2019-06-30 00:00:00
162,1561856400000.0,12135.91,12139.78,12012.46,12098.59,1448.608124,2019-06-30 01:00:00
163,1561860000000.0,12098.22,12107.2,12020.03,12075.0,1701.695944,2019-06-30 02:00:00
164,1561863600000.0,12075.0,12180.0,12010.03,12133.8,2566.077604,2019-06-30 03:00:00
165,1561867200000.0,12133.8,12170.0,12023.0,12058.72,2403.499345,2019-06-30 04:00:00
166,1561870800000.0,12058.72,12131.36,11880.0,11973.36,3376.111926,2019-06-30 05:00:00
167,1561874400000.0,11973.36,12025.24,11900.0,11923.54,2339.462785,2019-06-30 06:00:00
168,1561878000000.0,11921.41,11938.85,11651.98,11731.19,5060.18269,2019-06-30 07:00:00
169,1561881600000.0,11728.81,11846.53,11680.0,11808.77,2462.109119,2019-06-30 08:00:00
170,1561885200000.0,11807.1,11881.0,11709.18,11798.66,2492.641445,2019-06-30 09:00:00
171,1561888800000.0,11797.1,11816.8,11501.1,11603.44,5161.524293,2019-06-30 10:00:00
172,1561892400000.0,11603.44,11680.0,11564.14,11624.1,2564.752905,2019-06-30 11:00:00
173,1561896000000.0,11626.52,11728.87,11583.0,11648.09,2043.464879,2019-06-30 12:00:00
174,1561899600000.0,11648.0,11689.94,11115.0,11206.95,6542.210435,2019-06-30 13:00:00
175,1561903200000.0,11208.74,11350.0,11040.0,11293.3,6588.514071,2019-06-30 14:00:00
176,1561906800000.0,11299.06,11319.93,11145.0,11164.45,2503.11766,2019-06-30 15:00:00
177,1561910400000.0,11164.01,11355.74,10933.0,11296.37,6319.696109,2019-06-30 16:00:00
178,1561914000000.0,11296.46,11443.98,11290.38,11371.09,3037.245711,2019-06-30 17:00:00
179,1561917600000.0,11371.34,11376.16,11217.49,11269.13,2228.85922,2019-06-30 18:00:00
180,1561921200000.0,11269.13,11368.0,11172.02,11301.0,2985.998534,2019-06-30 19:00:00
181,1561924800000.0,11300.49,11500.0,11230.97,11474.96,2402.745809,2019-06-30 20:00:00
182,1561928400000.0,11474.97,11534.05,11331.0,11348.77,2253.637181,2019-06-30 21:00:00
183,1561932000000.0,11347.56,11355.5,10912.9,11011.7,5660.848678,2019-06-30 22:00:00
184,1561935600000.0,11011.41,11096.09,10766.03,10854.1,7904.214413,2019-06-30 23:00:00
185,1561939200000.0,10854.1,11104.41,10719.0,11091.54,5443.615843,2019-07-01 00:00:00
186,1561942800000.0,11091.06,11171.42,10958.31,10973.34,4095.86489,2019-07-01 01:00:00
187,1561946400000.0,10981.15,11148.98,10868.0,11054.94,4317.915237,2019-07-01 02:00:00
188,1561950000000.0,11056.02,11282.28,11001.0,11142.98,3972.850372,2019-07-01 03:00:00
189,1561953600000.0,11139.37,11224.35,11080.0,11145.92,1910.088313,2019-07-01 04:00:00
190,1561957200000.0,11144.61,11203.9,11000.0,11080.09,2871.790359,2019-07-01 05:00:00
191,1561960800000.0,11078.79,11138.83,10935.41,10962.89,2974.791124,2019-07-01 06:00:00
192,1561964400000.0,10960.4,11078.63,10900.0,10983.7,2740.122383,2019-07-01 07:00:00
193,1561968000000.0,10983.7,11180.85,10950.0,11178.08,2712.777791,2019-07-01 08:00:00
194,1561971600000.0,11178.13,11189.99,11072.62,11106.79,2185.825146,2019-07-01 09:00:00
195,1561975200000.0,11107.17,11146.96,10902.59,10994.45,2559.981085,2019-07-01 10:00:00
196,1561978800000.0,10994.45,11045.0,10924.0,11022.65,2004.385957,2019-07-01 11:00:00
197,1561982400000.0,11020.87,11041.42,10535.0,10666.14,6772.344461,2019-07-01 12:00:00
198,1561986000000.0,10665.04,10748.34,10578.08,10578.28,3397.693892,2019-07-01 13:00:00
199,1561989600000.0,10578.21,10669.67,10256.01,10305.94,7232.476079,2019-07-01 14:00:00
200,1561993200000.0,10294.35,10397.0,10050.0,10396.98,9265.116217,2019-07-01 15:00:00
201,1561996800000.0,10390.17,10480.0,10254.99,10316.42,4294.5451,2019-07-01 16:00:00
202,1562000400000.0,10317.18,10426.26,10172.76,10294.95,3275.090013,2019-07-01 17:00:00
203,1562004000000.0,10295.11,10375.0,10205.65,10307.19,2309.593402,2019-07-01 18:00:00
204,1562007600000.0,10305.08,10314.47,10030.0,10258.02,4316.517434,2019-07-01 19:00:00
205,1562011200000.0,10259.0,10600.0,10258.07,10524.09,4184.344763,2019-07-01 20:00:00
206,1562014800000.0,10524.29,10639.41,10451.01,10596.06,2586.650366,2019-07-01 21:00:00
207,1562018400000.0,10591.77,10596.26,10462.2,10500.06,2851.015444,2019-07-01 22:00:00
208,1562022000000.0,10500.03,10700.0,10497.28,10624.93,2686.8726,2019-07-01 23:00:00
209,1562025600000.0,10624.9,10700.0,10365.6,10365.6,3183.929738,2019-07-02 00:00:00
210,1562029200000.0,10365.51,10435.98,10216.0,10263.08,2576.073655,2019-07-02 01:00:00
211,1562032800000.0,10263.06,10420.86,10234.75,10274.75,3341.412266,2019-07-02 02:00:00
212,1562036400000.0,10271.87,10357.49,10242.0,10339.07,1937.373814,2019-07-02 03:00:00
213,1562040000000.0,10340.51,10390.0,9830.0,9941.92,9590.193925,2019-07-02 04:00:00
214,1562043600000.0,9944.47,9988.28,9776.0,9820.75,5702.600796,2019-07-02 05:00:00
215,1562047200000.0,9823.07,9919.97,9760.02,9796.64,4100.975954,2019-07-02 06:00:00
216,1562050800000.0,9797.77,9929.45,9793.0,9866.96,2251.26577,2019-07-02 07:00:00
217,1562054400000.0,9866.7,10311.23,9835.0,10204.58,5503.528725,2019-07-02 08:00:00
218,1562058000000.0,10212.93,10350.0,10120.55,10161.55,4080.023252,2019-07-02 09:00:00
219,1562061600000.0,10167.12,10248.27,10010.01,10047.4,2775.727555,2019-07-02 10:00:00
220,1562065200000.0,10048.3,10239.0,9727.0,9989.1,9397.268639,2019-07-02 11:00:00
221,1562068800000.0,9993.96,10207.44,9945.3,10058.46,5713.795065,2019-07-02 12:00:00
222,1562072400000.0,10055.71,10160.0,9918.0,9995.56,3965.775306,2019-07-02 13:00:00
223,1562076000000.0,9991.23,10542.99,9981.41,10542.99,7886.060906,2019-07-02 14:00:00
224,1562079600000.0,10538.38,10657.62,10383.77,10632.17,5591.270428,2019-07-02 15:00:00
225,1562083200000.0,10632.16,10637.09,10423.13,10510.69,3514.095798,2019-07-02 16:00:00
226,1562086800000.0,10510.69,10784.94,10503.21,10772.34,5057.468582,2019-07-02 17:00:00
227,1562090400000.0,10767.6,10774.5,10581.01,10725.0,4607.196169,2019-07-02 18:00:00
228,1562094000000.0,10724.65,10898.99,10680.06,10784.0,5585.46693,2019-07-02 19:00:00
229,1562097600000.0,10785.1,10938.75,10703.63,10709.9,4083.208105,2019-07-02 20:00:00
230,1562101200000.0,10714.0,10785.88,10592.64,10686.7,4228.924685,2019-07-02 21:00:00
231,1562104800000.0,10686.56,10882.58,10655.0,10819.06,2715.665865,2019-07-02 22:00:00
232,1562108400000.0,10818.2,10863.0,10692.0,10842.85,2171.7368,2019-07-02 23:00:00
233,1562112000000.0,10844.98,11297.0,10841.04,11266.66,7529.134137,2019-07-03 00:00:00
234,1562115600000.0,11266.58,11453.86,11211.0,11347.62,6520.260269,2019-07-03 01:00:00
235,1562119200000.0,11353.45,11353.45,11121.0,11135.75,5503.186506,2019-07-03 02:00:00
236,1562122800000.0,11135.75,11349.99,11076.67,11289.48,3633.979921,2019-07-03 03:00:00
237,1562126400000.0,11289.46,11392.98,11201.9,11236.92,2440.406715,2019-07-03 04:00:00
238,1562130000000.0,11236.92,11513.0,11205.0,11432.46,5093.666609,2019-07-03 05:00:00
239,1562133600000.0,11432.46,11484.17,11275.0,11415.53,3144.346506,2019-07-03 06:00:00
240,1562137200000.0,11415.21,11440.0,11200.17,11217.7,3518.872921,2019-07-03 07:00:00
241,1562140800000.0,11217.7,11310.0,10956.98,10996.15,4060.469277,2019-07-03 08:00:00
242,1562144400000.0,11008.0,11220.0,10878.75,11219.49,5174.028922,2019-07-03 09:00:00
243,1562148000000.0,11215.01,11347.0,11156.51,11294.37,3241.735911,2019-07-03 10:00:00
244,1562151600000.0,11291.48,11339.82,11060.01,11162.35,2429.359103,2019-07-03 11:00:00
245,1562155200000.0,11166.54,11380.22,11123.43,11370.0,3209.712954,2019-07-03 12:00:00
246,1562158800000.0,11366.97,11420.06,11161.87,11238.55,3465.486769,2019-07-03 13:00:00
247,1562162400000.0,11238.58,11423.46,11187.5,11363.02,2512.610798,2019-07-03 14:00:00
248,1562166000000.0,11364.56,11460.0,11304.84,11422.43,3053.750562,2019-07-03 15:00:00
249,1562169600000.0,11421.93,11444.42,11134.02,11174.48,3824.526582,2019-07-03 16:00:00
250,1562173200000.0,11174.48,11347.01,11165.65,11175.2,2866.490947,2019-07-03 17:00:00
251,1562176800000.0,11174.98,11256.06,11017.59,11227.64,4843.883172,2019-07-03 18:00:00
252,1562180400000.0,11224.76,11319.46,11156.29,11257.82,2009.534338,2019-07-03 19:00:00
253,1562184000000.0,11256.97,11412.0,11205.0,11354.35,2380.357659,2019-07-03 20:00:00
254,1562187600000.0,11356.01,11403.04,11288.68,11376.05,1732.746818,2019-07-03 21:00:00
255,1562191200000.0,11376.72,11921.99,11357.01,11886.69,7894.849897,2019-07-03 22:00:00
256,1562194800000.0,11887.0,11991.89,11755.02,11940.0,6732.502997,2019-07-03 23:00:00
257,1562198400000.0,11940.0,12000.0,11780.0,11805.0,4572.575941,2019-07-04 00:00:00
258,1562202000000.0,11805.01,11890.47,11711.09,11841.69,2173.353193,2019-07-04 01:00:00
259,1562205600000.0,11841.69,11936.99,11824.82,11869.78,2413.871002,2019-07-04 02:00:00
260,1562209200000.0,11869.78,11916.17,11800.0,11850.0,2064.422313,2019-07-04 03:00:00
261,1562212800000.0,11848.71,11865.01,11600.0,11629.71,3184.332639,2019-07-04 04:00:00
262,1562216400000.0,11627.75,11698.54,11550.0,11650.26,3427.228651,2019-07-04 05:00:00
263,1562220000000.0,11653.1,11774.06,11611.0,11729.58,2869.450903,2019-07-04 06:00:00
264,1562223600000.0,11729.84,11798.98,11619.28,11669.23,2923.530364,2019-07-04 07:00:00
265,1562227200000.0,11669.23,11740.95,11575.24,11721.4,3336.719684,2019-07-04 08:00:00
266,1562230800000.0,11718.74,11732.46,11563.73,11604.27,2262.280861,2019-07-04 09:00:00
267,1562234400000.0,11604.99,11645.0,11457.91,11565.88,3167.608706,2019-07-04 10:00:00
268,1562238000000.0,11567.07,11735.0,11540.01,11672.13,2422.318997,2019-07-04 11:00:00
269,1562241600000.0,11672.47,11769.12,11644.02,11717.34,2431.227469,2019-07-04 12:00:00
270,1562245200000.0,11715.92,11889.0,11696.81,11818.75,2514.276978,2019-07-04 13:00:00
271,1562248800000.0,11819.84,11863.64,11739.0,11816.15,2168.38937,2019-07-04 14:00:00
272,1562252400000.0,11818.89,11857.0,11680.51,11707.42,2471.075733,2019-07-04 15:00:00
273,1562256000000.0,11707.42,11799.79,11600.0,11749.04,2597.333707,2019-07-04 16:00:00
274,1562259600000.0,11749.97,11858.39,11739.56,11828.44,2101.726123,2019-07-04 17:00:00
275,1562263200000.0,11827.68,11838.95,11750.51,11786.98,1150.578462,2019-07-04 18:00:00
276,1562266800000.0,11784.82,11807.1,11700.51,11805.42,1204.688701,2019-07-04 19:00:00
277,1562270400000.0,11805.43,11805.44,11522.34,11692.08,3813.733983,2019-07-04 20:00:00
278,1562274000000.0,11692.08,11736.59,11552.12,11554.11,1801.032383,2019-07-04 21:00:00
279,1562277600000.0,11557.18,11687.35,11536.19,11599.5,1466.242487,2019-07-04 22:00:00
280,1562281200000.0,11594.18,11617.94,11055.0,11145.67,7974.223242,2019-07-04 23:00:00
281,1562284800000.0,11145.67,11230.0,11002.63,11170.81,4205.04498,2019-07-05 00:00:00
282,1562288400000.0,11172.85,11294.89,11155.65,11226.0,2608.994977,2019-07-05 01:00:00
283,1562292000000.0,11226.45,11280.0,11108.59,11135.91,2795.601982,2019-07-05 02:00:00
284,1562295600000.0,11137.35,11197.47,11075.47,11154.56,2179.058643,2019-07-05 03:00:00
